id,item_id,invoice_id,quantity,unit_price,created_at,updated_at
1,539,1,2,13635,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
2,528,1,2,23324,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
3,523,2,2,34873,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
4,535,2,2,2196,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
5,529,5,2,79140,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
6,541,5,2,52100,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
7,530,7,2,66747,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
8,534,7,2,76941,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
9,1832,7,3,29973,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
10,1830,7,3,1859,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
